"Road vehicle fleet at 31 December by vehicle category and age group"

"Age Group","Type of Vehicle","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All ages","Motor coaches, buses and trolleybuses","Malta",936,964,1014,967,1077,1117,1133,1141,1125,1134,1150,1003,1629,1609,1672,1836,1820,1835,1749,1740,1705,1789,1955,1996,2070,2112,2275,2222,2325
"All ages","Motor coaches, buses and trolleybuses","Monaco",,,,,,,,,,,,,,,,90,,,,,,,,,,,,,45
"All ages","Motor coaches, buses and trolleybuses","Montenegro",,,,,,,,,,,,,,,,,,,,,,,,1308,1370,1459,1490,979,1225
"All ages","Motor coaches, buses and trolleybuses","Netherlands",11500,11200,11500,11241,10801,11006,11210,11369,11326,11382,11344,11231,10995,10845,11091,11332,11634,11277,10986,10464,9922,9597,9411,9822,9914,9513,9876,9277,8532
"All ages","Motor coaches, buses and trolleybuses","North Macedonia",2921,2453,2541,2442,2430,2478,2479,2498,2620,2497,2478,,2269,2220,2284,2270,2454,2695,2636,2719,3022,3164,3243,3230,3188,3201,3144,2612,2946
"All ages","Motor coaches, buses and trolleybuses","Norway",29124,30547,32515,33959,35171,36218,37039,36686,35667,34110,32374,30592,28783,26954,25204,23324,21474,20348,19240,18220,17584,17111,16668,16258,16041,15634,15867,16086,15591
"All ages","Motor coaches, buses and trolleybuses","Poland",86154,86852,85413,85596,81788,80827,78958,82590,82500,83389,82769,82845,80175,83668,87999,92792,95745,97371,100488,100175,102927,106387,110186,113483,116351,119471,122879,124810,124840
"All ages","Motor coaches, buses and trolleybuses","Portugal",13554,14248,15020,15681,16431,17513,18544,19780,20760,21387,,,,,,,,15425,15181,12357,12111,14941,14717,14850,15235,15493,17819,15197,15477
"All ages","Motor coaches, buses and trolleybuses","Republic of Moldova",9631,9649,8564,10278,11613,13327,13985,13167,15096,16183,16124,20112,19825,21415,21454,21491,21701,21738,21792,21790,21724,21755,21525,21367,21339,21467,24521,21453,
"All ages","Motor coaches, buses and trolleybuses","Romania",37731,40017,42997,44205,45015,46508,47305,48142,47724,40761,41947,,39273,32315,34202,41514,41165,40647,40887,42010,42836,44283,47347,48803,50309,51802,53771,54170,54351
"All ages","Motor coaches, buses and trolleybuses","Russian Federation",,506115,526337,640848,640835,639732,645396,418000,662449,701911,728774,764597,778000,835542,893665,905370,907038,904875,912969,938512,901525,,,,,,,,
"All ages","Motor coaches, buses and trolleybuses","San Marino",,,,,,,,,,,70,72,,,,,,,,,,,,,,,,,
"All ages","Motor coaches, buses and trolleybuses","Serbia",,,,,,,,,,,9066,9032,9696,9455,9026,8910,8853,8238,9018,9056,9019,9044,,,,,,9900,
"All ages","Motor coaches, buses and trolleybuses","Slovakia",12847,12243,12053,11582,11485,11515,11335,11149,10889,10834,10852,9202,9392,9070,10759,10804,9667,9616,9342,9226,9071,9159,9270,9091,9241,9363,9262,8164,8370
"All ages","Motor coaches, buses and trolleybuses","Slovenia",2527,2486,2467,2406,2372,2327,2319,2259,2217,2189,2188,2257,2255,2277,2330,2378,2394,2400,2422,2410,2465,2559,2631,2679,2782,2834,2884,2339,2638
"All ages","Motor coaches, buses and trolleybuses","Spain",47028,47088,47375,48405,50035,51805,53540,54732,56146,56953,55993,56957,58248,60400,61100,62196,62663,62445,62358,62358,59892,59799,60252,61838,63589,64905,65470,63387,64300
"All ages","Motor coaches, buses and trolleybuses","Sweden",14127,14293,14577,14753,14838,14924,14869,14417,14246,14013,13742,13363,13477,13643,13315,13474,13407,13868,13942,14197,13981,13987,14109,13886,14418,14377,14913,13488,13593
"All ages","Motor coaches, buses and trolleybuses","Switzerland",13557,36086,36967,37662,38508,39012,39692,40260,41342,42401,43629,44784,9300,9000,9200,8800,9000,9100,9300,9500,9400,9600,8000,9900,14583,14395,14265,13111,13290
"All ages","Motor coaches, buses and trolleybuses","Tajikistan",,,,10214,8929,9777,9242,,,,,,,,,,,,,,,,,,,,,,
"All ages","Motor coaches, buses and trolleybuses","Turkiye",244154,253969,263248,277672,298953,319856,333869,354339,358687,361797,368894,471666,501929,533472,561729,583482,585086,595483,609341,632068,641733,638464,666269,684294,700503,706050,706731,705802,
"All ages","Motor coaches, buses and trolleybuses","Turkmenistan",,,,,,,,,,,,,,,,26063,,,,,,,,,,,,,
"All ages","Motor coaches, buses and trolleybuses","Ukraine",,,,,,,144360,145548,143453,159293,174116,175945,167889,180010,185503,188008,,175175,253446,3596,3570,3032,2792,2856,,,,2980,
"All ages","Motor coaches, buses and trolleybuses","United Kingdom",157695,158360,158000,168000,165820,166000,173358,177793,176968,177994,179691,182659,178437,181090,180990,179972,173728,171203,168062,166297,,,162696,161500,158432,154990,,,140675
"All ages","Motor coaches, buses and trolleybuses","United States",654432,676000,685500,694781,697548,715540,728777,746125,749548,760717,776550,795274,807053,825000,838000,847000,841933,846051,666064,764509,864549,872027,888907,976161,983232,992153,,1006469,
"All ages","Motor coaches, buses and trolleybuses","Uzbekistan",,,,,,,,,,,,,,,,,,,,25590,25869,22763,22019,19724,,20328,15662,14229,15800
"All ages","Light goods road vehicles","Albania",31084,42271,25790,27774,30105,34378,37880,43301,49600,51690,53900,46809,52907,39279,59645,88258,79905,,,,,,,,,,,3583,3668
"All ages","Light goods road vehicles","Andorra",,,919,935,935,959,1011,983,994,997,1019,1053,,,,,,,,,,,,,,,,,
"All ages","Light goods road vehicles","Armenia",78502,49392,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All ages","Light goods road vehicles","Austria",275543,283157,290290,293614,300726,309630,318757,326784,331394,319981,326087,332976,338888,345480,353744,362990,370907,379965,390704,400203,355214,365686,375163,387786,403984,422745,440582,458253,493387
"All ages","Light goods road vehicles","Azerbaijan",84289,81244,79673,77710,71938,79934,69685,78566,77142,76928,77019,78918,90852,97395,110391,113088,117378,118460,,130019,133637,141126,141273,,,9950,10415,,
"All ages","Light goods road vehicles","Belarus",,,49324,51163,54675,61334,,,,,,,,,,,383666,396606,396461,403115,414193,421188,418006,414364,,,,,
"All ages","Light goods road vehicles","Belgium",375018,390591,402389,416716,435230,453122,480033,502979,526334,540637,556397,578124,604437,623250,642687,662780,676644,690837,714370,726237,53415,53317,670304,698650,729424,759406,789013,815000,851774
"All ages","Light goods road vehicles","Bosnia and Herzegovina",,,,,,,,,,,,,47059,,,57221,,75763,74956,73999,73755,73996,75343,,52433,55621,57734,54493,57316
"All ages","Light goods road vehicles","Bulgaria",185824,195786,203257,207858,210960,220948,230131,237655,245962,255412,268098,296001,311038,208295,239769,273570,290784,304436,315505,331763,348834,369189,396582,405217,372851,387186,401823,,348667
"All ages","Light goods road vehicles","Canada",3346111,3401846,3420277,3579497,3526933,3625818,,3095697,2994642,3468141,3177333,3874609,3784043,,,3936574,465080,,,,,,,,,,,,
"All ages","Light goods road vehicles","Croatia",51117,64438,69460,90256,104526,110360,112675,115941,122063,130064,139406,145555,151134,156785,155677,160204,156057,147058,143495,130903,130547,132045,107381,116001,125731,137049,147501,154885,164351
"All ages","Light goods road vehicles","Cyprus",89945,94322,100263,103088,104696,108091,110114,113581,116795,116542,118351,116343,116797,113959,115671,119795,121935,118528,115967,111840,97245,93381,92726,94673,95705,98533,101528,102951,104216
"All ages","Light goods road vehicles","Czechia",169531,184278,202929,225477,246621,260276,268259,275617,296412,323434,340094,371437,415101,468282,533916,589598,587032,584921,585729,595438,405575,,425142,429780,436241,441303,444203,446122,443860
"All ages","Light goods road vehicles","Denmark",30446,31268,32434,33026,33601,34713,36200,37329,38025,38936,34896,34317,,35154,35442,34629,,,,,402110,397825,395649,397001,395548,389461,380175,376435,373470
"All ages","Light goods road vehicles","Estonia",62971,53733,65598,71304,76605,80617,81030,82119,80535,80179,83430,85732,86201,92860,80280,75317,73594,72934,75234,78380,57420,61232,65986,71435,77118,83313,90759,94746,99088
