"Passenger road vehicle fleet and rate per thousand inhabitants at 31 December by vehicle category"

"Measurement","Vehicle category","Country","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"absolute value","Mopeds","Norway",125000,118000,115000,114000,114000,114000,115000,116000,121159,130523,140796,145000,148000,152000,156000,162000,166000,169000,172000,175000,176087,177502,178382,178382,171998,163436,159273,164840,160460
"absolute value","Mopeds","Poland",..,..,750000,773416,763365,743611,637000,590400,400500,391300,400500,310000,338000,338000,525000,698000,834000,922000,1033000,1100000,1163441,1216578,1259187,1292200,1327872,1349912,1375004,1400013,1419316
"absolute value","Mopeds","Portugal",..,0,..,..,..,..,..,..,551000,455000,480000,452000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Republic of Moldova",..,..,..,..,..,..,..,..,..,..,..,700,738,745,759,..,..,..,..,3499,3808,4148,4393,4646,4914,4872,4816,4781,..
"absolute value","Mopeds","Romania",212854,204496,205032,209507,206454,204340,203603,198530,174100,130500,132900,130200,..,17000,29000,6000,6000,6000,6000,6000,6565,6643,6679,6709,6741,6783,6779,6766,6749
"absolute value","Mopeds","Russian Federation",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19199,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","San Marino",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Serbia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8990,10266,12875,22294,25065,..,..,..,..,..,35487,..
"absolute value","Mopeds","Slovakia",152442,148298,147272,..,..,..,..,..,..,..,..,..,..,..,..,..,26500,28300,29900,31400,31800,31900,31972,30861,30499,30318,30394,30592,30829
"absolute value","Mopeds","Slovenia",1042,706,583,465,..,..,0,0,200,500,30000,29000,34000,34000,37000,40380,42243,42320,42300,42100,41050,41165,42216,42553,60797,63790,65451,67709,69814
"absolute value","Mopeds","Spain",..,..,..,..,..,..,..,..,2112603,2044242,2143593,2242046,..,2387000,2431000,2411000,2352000,2290000,2229000,2169000,2107000,2061044,2023211,1987470,1961523,1933445,1908492,1891754,1865955
"absolute value","Mopeds","Sweden",..,..,..,..,..,..,..,..,11370,19380,26470,42000,58470,75400,84880,92810,91680,78348,75169,73163,73176,75211,75678,76704,83079,85878,91837,103071,102301
"absolute value","Mopeds","Switzerland",372000,336000,318000,301000,280000,265000,246000,219000,199000,208000,173000,187000,156000,151000,145000,142000,139000,140000,143000,146000,147000,153000,156000,140000,188053,201423,211480,229421,244527
"absolute value","Mopeds","Tajikistan",..,..,..,5843,6377,5735,5484,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Turkiye",..,..,..,..,..,..,..,..,..,..,..,568833,593250,617887,624780,626767,624860,615734,602700,591740,539914,525426,521640,516025,527683,568521,625196,722793,..
"absolute value","Mopeds","Turkmenistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Ukraine",..,..,..,..,..,..,118038,103213,86526,69476,60579,51508,41498,39760,33580,34555,..,59404,182327,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","United Kingdom",146000,131000,115000,107000,96000,96000,110000,120000,126000,126000,133000,134020,101000,95000,91000,90000,85000,81000,81000,79000,75000,..,64000,58400,53000,48849,..,..,45605
"absolute value","Mopeds","United States",305546,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Mopeds","Uzbekistan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","Albania",..,..,5560,5541,3545,4109,4061,3808,3447,3400,3896,4877,7170,11639,13859,18329,20874,..,..,..,..,..,..,..,..,..,..,15418,15146
"absolute value","Motorcycles","Andorra",..,..,8601,8152,8225,8423,8712,9136,4900,5600,6200,7100,..,..,..,..,..,..,..,..,2891,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","Armenia",9786,8744,..,..,5525,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","Austria",138000,374000,175000,194000,213000,238000,263000,280000,295000,293000,305000,316000,326000,332000,347000,362000,378000,394000,411000,431000,450277,467956,484687,504302,520566,536964,587246,608913,631706
"absolute value","Motorcycles","Azerbaijan",11587,11582,13307,9583,3204,9271,9269,6389,6719,8278,7312,4993,3562,3408,2778,2300,2000,1600,1600,2067,2487,2877,3200,..,3077,3206,4069,..,..
"absolute value","Motorcycles","Belarus",..,463400,504200,533934,553473,566080,..,..,..,..,..,..,444540,..,..,373750,360387,345316,379276,396032,387948,406052,413257,415761,418260,421987,430204,..,..
"absolute value","Motorcycles","Belgium",175000,187000,200000,212000,225000,241000,261000,278000,294000,306000,319000,322000,346000,360000,374000,388000,404000,419000,434000,441000,450793,456512,465786,473326,481984,490495,499110,507996,525348
"absolute value","Motorcycles","Bosnia and Herzegovina",..,..,..,..,..,..,..,..,..,..,..,..,5406,..,..,8679,..,7522,7715,7861,7884,7833,8234,8519,9615,10552,..,11689,13131
"absolute value","Motorcycles","Bulgaria",230600,232400,..,234950,236260,233952,235000,..,..,239600,..,93000,98000,43000,51000,60000,67000,70000,74000,78000,82000,88035,93869,99797,105988,112388,118738,124311,129524
"absolute value","Motorcycles","Canada",310742,305865,298100,290688,299170,313680,273957,311275,318330,350088,378251,408706,443718,484903,522000,566900,594900,616280,631097,661452,672428,688204,709258,716264,..,..,..,..,..
"absolute value","Motorcycles","Croatia",7378,9304,9933,14128,17401,18957,20000,22000,24000,28000,34000,39000,44000,50000,58000,65000,66000,64000,64782,60000,60000,61000,62998,65366,69148,73997,78650,81305,85793
"absolute value","Motorcycles","Cyprus",13400,13100,13000,12100,11900,11900,12700,12700,13000,12900,14300,15400,16200,17300,19300,22400,23500,23700,23900,25300,25224,26578,25802,26414,27242,28183,28682,29735,31108
"absolute value","Motorcycles","Czechia",400968,402882,404000,918200,929600,927000,800000,748100,755500,760000,752000,757000,794000,823000,860000,893000,903000,924000,944000,977000,977197,998816,1046467,1074880,1102392,1132085,1163140,1196354,1217894
"absolute value","Motorcycles","Denmark",47000,49000,52000,56000,60000,64000,69000,74000,78390,82731,87779,94815,..,118752,133914,143546,147373,148766,148817,149665,150360,151542,153411,156311,158377,160823,162032,165527,168418
"absolute value","Motorcycles","Estonia",..,2200,3300,4680,5300,6100,6700,6700,6800,7200,8100,9000,10200,12600,14800,17600,18510,19540,21100,22800,24828,26975,..,31255,32978,34629,36782,38707,40778
"absolute value","Motorcycles","Finland",64000,64000,65000,66000,69000,73000,80000,91000,102811,116021,129670,142703,156000,172000,188000,204000,216000,227000,237000,245000,252000,257094,260112,264186,267898,272168,276623,281277,285669
"absolute value","Motorcycles","France",763000,744000,893000,738000,779000,839000,912000,968000,1019000,1054000,1091000,1131000,1177000,1248000,..,2710200,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","Georgia",..,..,..,12161,7413,7637,..,..,..,..,..,1049,1208,1383,1583,1839,..,2450,..,3868,4555,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","Germany",1894000,2083000,2267000,2470000,2717000,2926000,3177000,3410000,3557000,3657000,3745000,3828000,3903000,3969000,3566000,3659000,3763000,3828000,3908000,3983000,4055000,4145000,4228000,4314493,4372978,4438600,4506410,4661561,4780854
"absolute value","Motorcycles","Greece",388000,429000,476000,518000,571000,634000,711000,781000,853000,911000,970000,1042605,..,..,1298688,1388607,1448851,1499133,1534902,1556435,1568596,1592929,1619621,1653528,1656657,1583491,1609923,1637608,1675804
"absolute value","Motorcycles","Hungary",157693,157407,159152,151019,138029,97073,88000,91000,93100,97500,103000,112000,123000,204000,204000,141000,141960,142250,147380,151410,157178,161540,162828,162148,167413,176070,185943,194594,202521
"absolute value","Motorcycles","Iceland",2000,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,3000,4183,5699,8074,9009,9420,9651,9922,10135,10213,10306,10399,10573,8230,10832,10276,10144,10185
"absolute value","Motorcycles","Ireland",23921,23632,23452,23847,24424,24398,26700,31000,33000,33000,35000,35000,34300,35000,37000,35640,36380,35440,34210,32870,34520,34520,34960,36010,37940,38260,40560,42980,44800
"absolute value","Motorcycles","Israel",26057,29829,33022,35519,37834,39773,40513,41632,43059,42392,76188,77041,45286,49857,62160,75297,..,..,..,..,..,..,..,..,135014,139548,143010,148771,..
"absolute value","Motorcycles","Italy",2526761,2540000,2531000,2573000,2598000,2759000,2976000,3376000,3732000,4050000,4376000,4575000,4938000,5289000,5590000,5859000,6118000,6305000,6428000,6483000,6482000,6505620,6543612,6606844,6689911,6780733,6896048,7003618,7152760
"absolute value","Motorcycles","Kazakhstan",..,..,..,..,..,194831,154380,111596,96704,79810,73320,..,55176,48557,45261,49486,..,61000,50000,82600,86600,5111,58461,10552,41528,39156,39956,..,..
"absolute value","Motorcycles","Kyrgyzstan",73000,50087,59500,34854,26634,22539,19555,18723,10834,10834,9491,8698,10059,8542,7854,9702,..,..,..,..,..,..,..,..,..,..,..,..,..
"absolute value","Motorcycles","Latvia",8970,11100,15729,18444,19267,19409,20000,21000,21400,22200,22900,24000,25200,27210,30900,34200,33590,17188,17385,17879,18587,19807,21241,20329,22166,23713,26785,29561,32893
"absolute value","Motorcycles","Liechtenstein",..,..,1502,1657,1784,1895,2063,2139,2242,2310,2402,2562,3110,2825,2946,3120,3250,3420,3490,3570,3650,3800,3914,4100,4218,4308,4321,4432,4583
"absolute value","Motorcycles","Lithuania",..,..,20000,19402,19128,19266,19500,19800,20200,21000,21800,22900,24000,25500,28826,34029,36600,38995,41349,43605,45983,23374,26651,28784,31112,33666,39703,45883,52614
"absolute value","Motorcycles","Luxembourg",7000,8000,8406,8716,9296,9946,10819,11490,11950,13000,14000,14000,14000,15000,15000,15000,17300,15800,16200,16500,17226,17890,18569,19485,22986,24054,25061,26932,27663
"absolute value","Motorcycles","Malta",..,17179,17411,11663,13881,11200,11870,12402,12830,13324,13420,12781,12032,12692,13440,14354,14457,14787,15634,15747,16813,18258,19918,23191,25510,26955,29252,31152,33981
"absolute value","Motorcycles","Monaco",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8368,..,..,..,..,..,..,..,..,..,..,..,..,8139
"absolute value","Motorcycles","Montenegro",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4363,4744,5655,6300,5765,6261
